id,class,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
70,cottonCrop,-0.470385,-0.288209,-0.798429,-0.560529,-0.45352,-0.447579,-0.126658,0.02655,-0.735851,-1.001348,0.67001,0.822492,-1.197532,-1.508837,0.641278,1.339272,-1.628476,-1.884784,1.187378,2.069641,-1.99412,-2.004027,1.198494,2.439939,-1.631926,-2.165241,1.913331,2.75597,-1.626367,-2.151056,1.549787,2.750625,-1.845121,-2.141341,1.921116,2.545079
71,greySoil,1.367057,1.022851,0.583289,0.233219,1.095016,0.688462,0.293407,-0.184633,1.120043,0.70452,0.30936,-0.178503,1.522517,1.116996,0.761269,0.494142,1.547858,0.909358,0.768659,0.336042,1.572207,0.748942,0.540978,0.132741,1.976185,1.255401,0.649224,0.597084,2.005231,1.087853,0.891274,0.387634,1.73654,0.882725,0.663291,0.183404
72,redSoil,0.044099,1.285064,1.664634,0.709468,-0.2323,1.300177,1.073527,0.924077,-0.216201,1.316883,1.391311,0.92786,0.125735,1.073232,1.481217,0.811066,-0.151111,1.258626,1.486463,0.808841,-0.136658,1.273318,1.497365,0.814413,-0.159228,0.992274,1.491962,0.965674,-0.144082,1.21916,1.190598,0.755211,-0.42738,1.233342,1.501841,0.760703
73,redSoil,-0.470385,-0.463017,-0.377906,-0.401779,-0.748479,-0.098028,-0.366695,-0.184633,-0.438908,0.354598,0.129035,0.40102,-0.462384,0.37301,0.341299,0.230039,-0.668189,0.385456,0.649025,0.388575,-0.136658,0.836338,0.899623,0.394922,-0.674672,0.466022,0.709419,0.439117,-0.366425,0.650162,0.71168,0.440145,-0.054291,1.014206,0.962773,0.603258
74,redSoil,-1.205362,0.323619,0.282916,0.286136,-1.412137,-0.185416,0.293407,0.132141,-1.403973,-0.170284,0.068926,-0.073135,-1.050503,0.329246,0.581282,0.230039,-1.03753,0.167164,0.050856,0.230975,-1.02824,0.006078,0.062784,0.237614,-0.232863,0.904566,1.371571,0.702396,-0.959339,0.343779,0.771544,0.335123,-0.949706,0.181492,0.783084,0.340849
75,redSoil,-0.102897,1.19766,1.244111,0.815302,-0.37978,1.212789,1.253555,0.607303,-0.364672,1.229403,1.571636,0.822492,-0.388869,1.029468,1.121243,0.705425,-0.077243,1.040333,1.127561,0.703775,-0.359554,1.273318,1.377816,0.70954,-0.159228,1.036129,1.130788,0.702396,-0.144082,1.044084,1.130733,0.7027,-0.128909,1.058033,1.441945,0.708221
76,redSoil,-0.764376,-0.025997,0.042617,-0.08428,-0.748479,0.164136,0.293407,0.132141,-0.438908,0.74826,0.790227,0.506388,-0.976988,0.022899,0.341299,0.177218,-0.446584,0.691066,0.888293,0.598708,-0.136658,0.705245,0.660526,0.604668,-0.895577,0.202896,0.107463,0.017871,-0.885225,0.212472,0.113031,0.020058,-0.651234,0.225319,0.124223,0.025959
77,dampGreySoil,0.044099,0.017705,-0.618205,-0.507613,0.357618,0.207829,-0.84677,-0.501408,0.377685,0.048417,-0.8327,-0.494607,0.493309,0.635593,-0.07867,-0.350989,0.513703,0.472773,-0.068778,-0.346891,0.532028,0.268265,-0.295861,-0.548931,0.503487,0.509876,-0.193515,-0.245408,0.152375,0.168703,-0.186293,-0.45254,0.169563,0.181492,-0.474741,-0.656302
78,dampGreySoil,0.338089,0.017705,-0.137607,-0.719279,0.947536,0.033054,-0.606733,-0.501408,0.674628,0.048417,-0.592266,-0.705343,0.493309,0.066663,-0.798618,-0.773554,0.513703,0.079847,-0.547313,-0.767158,0.532028,0.268265,-0.774055,-0.758677,0.135312,0.159041,-0.494492,-0.666654,0.152375,0.168703,-0.725076,-0.662584,0.542653,0.181492,-0.474741,-0.656302
79,redSoil,-0.396887,1.19766,1.544484,1.026968,-0.084821,1.212789,1.253555,0.818486,-0.067729,1.229403,0.970552,0.822492,-0.09481,1.248287,1.361226,0.863886,-0.372716,1.258626,1.366829,0.861375,-0.359554,1.273318,1.377816,0.866849,0.135312,1.211546,1.431766,0.913019,-0.144082,1.21916,1.430057,0.912743,-0.128909,1.058033,1.142463,0.708221
80,greySoil,1.661048,1.022851,0.523215,0.286136,1.684934,1.256483,0.83349,0.290528,1.713929,1.273143,1.150877,0.506388,1.375487,1.029468,0.581282,0.230039,1.769463,1.214967,0.828476,0.230975,1.42361,0.880036,0.839849,0.027868,1.534375,1.299255,0.769615,0.333806,1.264088,0.912777,0.292626,0.12508,0.691889,0.575936,-0.414844,-0.079004
81,greySoil,1.367057,0.629533,0.403065,0.021553,1.095016,0.644768,0.413425,0.02655,1.416986,1.010702,0.189143,0.032233,1.375487,1.029468,0.821265,0.282859,1.400122,0.8657,0.529392,-0.084225,1.42361,0.880036,0.540978,0.29005,1.387105,1.211546,0.82981,0.491773,1.412317,1.044084,0.831409,0.230101,1.438068,1.058033,0.842981,0.235886
82,greySoil,1.661048,1.241362,1.48441,0.603635,1.684934,1.256483,0.8935,0.818486,1.713929,1.098182,0.910444,0.40102,1.743062,0.985704,0.881261,0.388501,1.47399,0.822041,0.649025,0.020842,0.977819,0.399359,0.122558,-0.129441,0.503487,0.466022,-0.073123,-0.561342,0.522946,0.256241,-0.306022,-0.347519,0.841124,0.269146,-0.295052,-0.341412
83,cottonCrop,-1.719846,-2.167396,1.123962,2.032383,-1.928316,-2.064253,1.133537,2.032788,-1.700916,-2.051114,1.150877,2.40301,-1.344562,-2.034003,1.121243,1.550555,-1.554608,-1.884784,0.828476,1.544308,-1.54833,-2.004027,0.839849,1.758267,-1.705561,-2.165241,0.769615,1.492232,-1.478139,-2.151056,0.771544,1.490363,-1.695885,-2.00986,1.082566,1.652891
84,cottonCrop,-1.866841,-2.167396,1.784783,3.196547,-1.854576,-2.282722,1.793639,3.035907,-1.849387,-2.138594,1.511528,2.66643,-1.638621,-2.296587,1.541213,2.76543,-1.850081,-2.27771,1.54628,2.752574,-1.622628,-2.266215,1.915784,2.754557,-1.705561,-2.296804,2.033722,3.177216,-1.700481,-2.282363,2.387894,3.170712,-1.919739,-2.272822,2.040909,3.174859
85,redSoil,-0.470385,0.716937,0.763513,0.497802,-0.45352,0.906932,0.773481,0.501711,-0.438908,0.923221,0.790227,0.506388,-0.756443,0.197954,0.641278,0.177218,-0.742057,0.210823,0.649025,0.388575,-0.731046,0.705245,0.899623,0.394922,-1.190116,0.378313,0.348246,0.228494,-0.885225,0.212472,0.352491,0.230101,-0.651234,0.619763,1.202359,0.603258
86,redSoil,-0.176394,1.41617,1.424335,0.921135,0.136399,1.212789,1.73363,0.924077,-0.141965,1.229403,1.451419,0.717124,-0.241839,1.292051,1.661204,0.916707,-0.22498,1.302284,1.366829,0.913908,-0.210957,1.317016,1.676687,0.919286,-0.453767,1.255401,1.190984,0.807707,-0.440539,1.262929,1.849111,0.965254,0.169563,1.277169,1.86122,0.970629
87,redSoil,-1.646348,-0.72523,-0.858503,-0.719279,-1.633357,-0.534967,-0.84677,-0.501408,-1.403973,-0.345245,-0.592266,-0.336555,-1.418077,-0.764851,-1.038601,-0.562271,-1.406871,-0.444054,-0.547313,-0.346891,-1.176837,-0.25611,-0.295861,-0.339186,-1.411021,-0.367211,-0.494492,-0.456031,-1.181682,-0.356526,-0.725076,-0.242497,-1.17356,-0.344432,-0.714327,-0.236449
88,greySoil,0.999568,0.673235,0.102692,-0.190113,1.021276,0.513687,-0.126658,-0.184633,1.045807,0.529559,-0.111399,-0.389239,1.449002,0.985704,0.641278,0.018756,1.178517,0.603749,0.110673,-0.136758,1.200714,0.617849,0.122558,-0.129441,2.049819,1.211546,0.709419,0.439117,1.412317,0.825239,0.412356,0.020058,1.438068,0.66359,0.18412,0.025959
89,redSoil,-0.690878,0.804341,0.703439,0.444886,-0.895959,0.819544,0.953509,0.607303,-0.884323,0.485819,0.730119,0.242968,-0.682928,0.504301,0.821265,0.494142,-1.185267,0.516432,0.529392,0.283508,-1.399733,0.006078,0.301881,0.132741,-1.337386,0.159041,0.047268,0.228494,-1.32991,-0.006373,0.292626,0.020058,-1.54665,-0.344432,-0.175259,-0.393894
90,greySoil,0.779075,0.498427,0.282916,-0.08428,1.095016,0.688462,0.293407,0.132141,1.120043,0.879481,0.549793,0.295652,0.713854,0.504301,0.041321,-0.192527,1.104649,0.8657,0.290124,0.230975,0.754923,1.054828,0.600752,0.499795,0.650756,0.334459,0.047268,-0.245408,1.264088,0.343779,-0.186293,-0.084964,1.288832,0.751244,0.543498,-0.079004
91,greySoil,1.661048,1.066554,0.883663,0.603635,1.316235,0.688462,0.353416,0.39612,1.045807,0.879481,0.910444,0.40102,1.449002,0.985704,0.881261,0.599783,1.178517,0.996675,0.888293,0.598708,0.680625,1.404411,0.899623,0.761977,0.798026,1.211546,0.950202,0.597084,0.522946,1.000315,0.951139,0.597678,0.244181,0.838898,0.423706,0.445813
92,dampGreySoil,0.485085,0.454725,0.162766,-0.348863,0.505098,0.251523,-0.306686,-0.34302,0.526157,0.267118,-0.051291,-0.336555,0.787369,0.329246,0.041321,-0.245347,0.809176,0.341798,0.050856,-0.451958,0.829222,0.530453,0.301881,-0.444059,0.724391,0.509876,0.047268,-0.403375,0.448832,0.518855,0.053167,-0.189986,0.468035,0.356801,-0.175259,-0.393894
93,redSoil,0.117596,1.19766,1.123962,0.709468,0.136399,1.212789,1.133537,0.924077,0.451921,1.229403,1.150877,0.92786,0.05222,1.292051,1.661204,0.705425,0.070493,1.302284,1.067744,0.703775,0.383431,1.317016,1.078945,0.70954,-0.159228,1.255401,1.190984,0.807707,-0.144082,1.087853,1.190598,0.807721,0.169563,1.10186,0.902877,0.813184
94,redSoil,0.191094,0.97915,0.943738,0.815302,0.210138,0.994319,0.953509,0.607303,-0.067729,1.010702,1.271094,0.611756,0.125735,0.854412,1.121243,0.705425,-0.077243,1.040333,1.366829,0.703775,-0.06236,0.880036,1.13872,0.499795,0.135312,0.860711,0.589028,0.491773,0.152375,0.693931,0.831409,0.492656,0.169563,0.707417,1.142463,0.708221
95,greySoil,0.705578,0.498427,0.042617,-0.190113,0.726317,0.863238,0.05337,-0.184633,1.120043,0.70452,0.068926,-0.178503,1.228458,0.898176,0.281304,0.124397,0.956912,0.56009,-0.188412,-0.084225,0.977819,0.574151,0.062784,-0.234313,1.976185,1.255401,1.190984,0.807707,1.708774,0.869008,0.651815,0.387634,1.064978,0.532109,0.363809,-0.183967
96,greySoil,0.117596,-0.200805,0.042617,-0.08428,0.800057,0.513687,0.05337,0.132141,0.8231,0.354598,0.068926,-0.073135,1.081428,0.679357,0.281304,0.018756,1.104649,0.691066,0.290124,0.020842,0.754923,0.530453,0.062784,-0.391622,0.945296,0.729148,0.28805,0.123183,1.264088,0.737701,0.532085,0.12508,1.288832,0.751244,0.783084,0.130923
97,greySoil,-0.764376,-1.031144,-0.377906,-0.190113,-0.45352,-0.578661,-0.126658,0.02655,-0.141965,-0.257765,-0.111399,0.032233,0.934398,0.37301,0.341299,0.388501,1.47399,0.996675,0.888293,0.598708,1.795102,1.404411,1.497365,0.761977,2.049819,1.386964,1.552157,1.01833,1.708774,1.000315,0.951139,0.440145,0.841124,1.014206,0.423706,0.445813
98,dampGreySoil,0.926071,0.542129,0.042617,-0.24303,0.947536,0.732156,-0.186668,-0.079042,0.971571,0.573299,0.30936,-0.231187,1.007913,0.504301,0.101317,-0.192527,1.03078,0.691066,0.110673,0.020842,0.754923,0.530453,0.122558,0.027868,1.166201,0.597585,0.348246,-0.140096,0.967631,0.387548,0.113031,-0.137475,0.99036,0.400628,0.124223,-0.341412
99,dampGreySoil,1.367057,0.498427,0.282916,0.021553,1.095016,0.688462,0.05337,-0.184633,1.120043,0.529559,-0.171507,-0.178503,0.934398,0.548065,0.281304,-0.245347,0.956912,0.56009,0.290124,-0.084225,0.977819,0.574151,0.062784,-0.077004,0.724391,0.334459,-0.133319,-0.403375,1.041746,0.343779,-0.126428,-0.189986,1.064978,0.356801,0.124223,-0.183967
100,greySoil,1.367057,1.022851,1.123962,0.286136,1.389975,1.038013,1.133537,0.290528,1.416986,0.879481,0.549793,0.1376,1.375487,1.029468,0.581282,0.230039,1.400122,0.8657,0.589209,0.230975,1.795102,0.880036,0.600752,0.237614,1.534375,1.123838,0.528832,0.333806,1.264088,0.912777,0.771544,0.12508,1.288832,0.926552,0.303913,-0.079004
101,greySoil,1.073066,0.454725,0.162766,-0.190113,0.800057,0.469993,-0.066649,-0.34302,0.8231,0.835741,0.189143,-0.178503,1.081428,0.679357,0.281304,-0.086885,0.513703,0.691066,0.290124,-0.084225,0.532028,0.705245,0.540978,0.132741,1.092566,0.685294,0.28805,-0.192752,1.11586,0.869008,0.292626,-0.189986,0.766507,1.058033,0.603395,0.235886
102,cottonCrop,-1.866841,-2.298502,0.883663,2.826131,-1.854576,-2.282722,0.653462,3.035907,-1.849387,-2.269815,0.910444,3.035218,-1.418077,-2.296587,0.941256,2.395685,-1.628476,-2.27771,0.708842,2.542441,-1.622628,-2.135121,0.7203,2.387503,-0.674672,-0.84961,0.047268,0.860363,-1.181682,-1.406983,0.292626,1.647896,-1.397414,-2.053687,0.842981,2.387634
103,greySoil,1.367057,0.848043,0.282916,0.021553,1.095016,0.513687,0.05337,-0.184633,0.748864,0.70452,-0.171507,-0.178503,1.228458,0.548065,0.521286,-0.086885,1.252385,0.909358,0.529392,-0.084225,1.275013,0.574151,0.301881,-0.077004,1.018931,0.509876,-0.133319,-0.192752,1.041746,0.518855,0.352491,0.020058,1.064978,0.532109,0.124223,-0.183967
104,cottonCrop,-1.866841,-2.298502,1.48441,3.037797,-1.854576,-2.151641,1.193546,2.824724,-1.849387,-2.138594,1.81207,2.824482,-1.638621,-2.296587,1.541213,2.976712,-1.628476,-2.27771,1.54628,2.752574,-1.845523,-2.266215,1.557139,2.754557,-1.705561,-2.296804,2.394896,3.177216,-1.404024,-2.282363,2.028705,2.750625,-1.397414,-2.272822,1.741427,2.597561
105,dampGreySoil,0.411587,0.148811,-0.377906,-0.613446,0.431358,0.164136,-0.606733,-0.818182,0.154978,0.179637,-0.592266,-0.810711,0.34628,0.15419,-0.438644,-0.879195,0.365966,0.167164,-0.42768,-0.872224,0.383431,0.006078,-0.654507,-0.863549,0.135312,-0.104085,-1.036253,-0.982588,-0.144082,-0.444064,-1.0244,-1.187693,-0.128909,-0.432086,-1.193498,-1.338564
106,redSoil,-0.249892,-0.025997,-0.197682,-0.08428,-0.2323,0.164136,0.293407,0.343324,0.080742,0.573299,0.30936,0.348336,-0.168324,0.022899,-0.138666,0.018756,-0.742057,-0.269421,-0.547313,-0.399425,-0.731046,-0.430902,-0.116539,-0.181877,-0.453767,-0.191794,-0.855666,-0.140096,-0.662882,-0.356526,-0.605346,-0.137475,-0.651234,0.050011,-0.115362,-0.131486
107,redSoil,-1.499353,-0.550421,-0.678279,-0.24303,-1.485877,-0.534967,-0.666742,-0.448612,-1.478209,-0.695167,-0.652375,-0.652659,-1.491592,-0.458504,-0.798618,-0.192527,-1.48074,-0.444054,-0.367863,-0.189291,-1.251136,-0.25611,-0.355636,-0.391622,-1.411021,-0.367211,-0.614884,-0.350719,-1.404024,-0.181449,-0.605346,-0.347519,-1.397414,-0.169124,-0.354948,-0.341412
108,greySoil,1.367057,1.809488,1.544484,1.026968,1.095016,1.212789,0.713472,0.448916,0.526157,0.835741,0.189143,-0.178503,1.375487,1.423343,1.361226,0.705425,1.104649,1.040333,0.828476,0.125908,1.126416,0.705245,0.301881,-0.234313,1.387105,0.860711,0.589028,0.228494,1.11586,1.044084,0.831409,0.230101,1.139596,0.882725,0.303913,0.025959
109,cottonCrop,-1.719846,-2.167396,1.184036,2.561548,-2.002056,-2.151641,1.193546,2.560745,-1.700916,-2.138594,1.210986,2.561062,-1.859166,-2.165295,1.181239,2.659789,-1.850081,-2.015759,1.187378,2.805107,-1.845523,-2.135121,1.497365,2.806993,-1.85283,-2.296804,1.552157,2.75597,-1.626367,-2.282363,1.908976,2.960669,-2.068975,-2.272822,1.921116,2.755006
110,greySoil,1.293559,0.673235,0.102692,0.021553,1.316235,0.688462,0.353416,0.02655,1.045807,0.70452,0.129035,0.032233,1.154943,0.810648,0.341299,-0.139706,1.178517,0.603749,0.110673,-0.136758,0.977819,0.617849,0.122558,-0.339186,1.387105,0.992274,0.167659,0.017871,1.412317,0.825239,0.172896,-0.189986,0.841124,0.66359,-0.055466,-0.341412
111,greySoil,0.705578,0.498427,0.042617,-0.401779,0.431358,0.164136,-0.366695,-0.606999,0.451921,0.004676,-0.8327,-0.599975,1.228458,0.723121,0.761269,0.124397,1.252385,0.734724,0.768659,0.125908,0.977819,0.574151,0.062784,-0.077004,1.018931,0.860711,0.348246,-0.192752,1.041746,0.869008,0.352491,0.020058,1.36345,0.882725,0.363809,0.025959
112,redSoil,-0.690878,0.848043,0.523215,0.286136,-1.190918,-0.01064,0.05337,0.132141,-1.181266,0.004676,0.30936,-0.073135,-1.050503,-0.020865,0.041321,0.018756,-1.333003,-0.182104,0.050856,-0.189291,-1.325434,-0.343506,-0.176313,-0.181877,-0.969212,-0.016376,0.047268,-0.08744,-1.478139,-0.356526,0.053167,-0.242497,-1.248178,-0.695049,-0.894016,-0.236449
113,redSoil,-0.102897,0.848043,1.123962,0.497802,-0.37978,0.863238,1.133537,0.712894,-0.067729,1.054442,1.391311,0.717124,-0.168324,0.854412,0.821265,0.494142,-0.151111,1.040333,1.127561,0.703775,-0.136658,1.054828,1.437591,0.70954,-0.453767,0.729148,0.769615,0.333806,-0.440539,0.912777,0.532085,0.492656,-0.42738,0.751244,0.543498,0.708221
114,cottonCrop,-1.940339,-2.385906,0.282916,1.291551,-1.928316,-2.239028,0.05337,1.293647,-1.923623,-2.226075,0.068926,1.085912,-2.22674,-2.340351,0.101317,1.603376,-1.997817,-2.321368,0.349941,1.596841,-1.99412,-2.309913,0.361655,1.758267,-1.85283,-2.384513,0.890006,2.282068,-1.84871,-2.369901,0.352491,1.910451,-1.845121,-2.360476,0.124223,1.705373
